                                              Software Resources List                                                   Page     1
5770SS1 V7R5M0  220415                                                                            PUB400    10/06/23  18:06:59 UTC
                                                      Software Resources List
 Resource                         Feature
    ID       Option    Feature     Type      Library       Release       Description
 5770PT1     *BASE      2924       *LNG      QPFR          V7R4M0        IBM Performance Tools for i - Base
 5770PT1     *BASE      2925       *LNG      QSYS2925      V7R4M0        IBM Performance Tools for i - Base
 5770PT1     *BASE      2926       *LNG      QSYS2926      V7R4M0        IBM Performance Tools for i - Base
 5770PT1     *BASE      2928       *LNG      QSYS2928      V7R4M0        IBM Performance Tools for i - Base
 5770PT1     *BASE      2929       *LNG      QSYS2929      V7R4M0        IBM Performance Tools for i - Base
 5770PT1     *BASE      2930       *LNG      QSYS2930      V7R4M0        IBM Performance Tools for i - Base
 5770PT1     *BASE      2931       *LNG      QSYS2931      V7R4M0        IBM Performance Tools for i - Base
 5770PT1     *BASE      2932       *LNG      QSYS2932      V7R4M0        IBM Performance Tools for i - Base
 5770PT1     *BASE      2933       *LNG      QSYS2933      V7R4M0        IBM Performance Tools for i - Base
 5770PT1     *BASE      2937       *LNG      QSYS2937      V7R4M0        IBM Performance Tools for i - Base
 5770PT1     *BASE      2938       *LNG      QSYS2938      V7R4M0        IBM Performance Tools for i - Base
 5770PT1     *BASE      2939       *LNG      QSYS2939      V7R4M0        IBM Performance Tools for i - Base
 5770PT1     *BASE      2940       *LNG      QSYS2940      V7R4M0        IBM Performance Tools for i - Base
 5770PT1     *BASE      2942       *LNG      QSYS2942      V7R4M0        IBM Performance Tools for i - Base
 5770PT1     *BASE      2954       *LNG      QSYS2954      V7R4M0        IBM Performance Tools for i - Base
 5770PT1     *BASE      2956       *LNG      QSYS2956      V7R4M0        IBM Performance Tools for i - Base
 5770PT1     *BASE      2957       *LNG      QSYS2957      V7R4M0        IBM Performance Tools for i - Base
 5770PT1     *BASE      2958       *LNG      QSYS2958      V7R4M0        IBM Performance Tools for i - Base
 5770PT1     *BASE      2961       *LNG      QSYS2961      V7R4M0        IBM Performance Tools for i - Base
 5770PT1     *BASE      2962       *LNG      QSYS2962      V7R4M0        IBM Performance Tools for i - Base
 5770PT1     *BASE      2963       *LNG      QSYS2963      V7R4M0        IBM Performance Tools for i - Base
 5770PT1     *BASE      2966       *LNG      QSYS2966      V7R4M0        IBM Performance Tools for i - Base
 5770PT1     *BASE      2972       *LNG      QSYS2972      V7R4M0        IBM Performance Tools for i - Base
 5770PT1     *BASE      2974       *LNG      QSYS2974      V7R4M0        IBM Performance Tools for i - Base
 5770PT1     *BASE      2975       *LNG      QSYS2975      V7R4M0        IBM Performance Tools for i - Base
 5770PT1     *BASE      2976       *LNG      QSYS2976      V7R4M0        IBM Performance Tools for i - Base
 5770PT1     *BASE      2978       *LNG      QSYS2978      V7R4M0        IBM Performance Tools for i - Base
 5770PT1     *BASE      2979       *LNG      QSYS2979      V7R4M0        IBM Performance Tools for i - Base
 5770PT1     *BASE      2980       *LNG      QSYS2980      V7R4M0        IBM Performance Tools for i - Base
 5770PT1     *BASE      2981       *LNG      QSYS2981      V7R4M0        IBM Performance Tools for i - Base
 5770PT1     *BASE      2984       *LNG      QSYS2984      V7R4M0        IBM Performance Tools for i - Base
 5770PT1     *BASE      2986       *LNG      QSYS2986      V7R4M0        IBM Performance Tools for i - Base
 5770PT1     *BASE      2987       *LNG      QSYS2987      V7R4M0        IBM Performance Tools for i - Base
 5770PT1     *BASE      2989       *LNG      QSYS2989      V7R4M0        IBM Performance Tools for i - Base
 5770PT1     *BASE      2992       *LNG      QSYS2992      V7R4M0        IBM Performance Tools for i - Base
 5770PT1     *BASE      2994       *LNG      QSYS2994      V7R4M0        IBM Performance Tools for i - Base
 5770PT1     *BASE      2995       *LNG      QSYS2995      V7R4M0        IBM Performance Tools for i - Base
 5770PT1     *BASE      2996       *LNG      QSYS2996      V7R4M0        IBM Performance Tools for i - Base
 5770PT1     *BASE      2998       *LNG      QSYS2998      V7R4M0        IBM Performance Tools for i - Base
 5770PT1     1          5101       *CODE     QPFR          V7R4M0        Performance Tools - Manager Feature
 5770PT1     1          2902       *LNG      QSYS2902      V7R4M0        Performance Tools - Manager Feature
 5770PT1     1          2903       *LNG      QSYS2903      V7R4M0        Performance Tools - Manager Feature
 5770PT1     1          2904       *LNG      QSYS2904      V7R4M0        Performance Tools - Manager Feature
 5770PT1     1          2905       *LNG      QSYS2905      V7R4M0        Performance Tools - Manager Feature
 5770PT1     1          2909       *LNG      QSYS2909      V7R4M0        Performance Tools - Manager Feature
 5770PT1     1          2911       *LNG      QSYS2911      V7R4M0        Performance Tools - Manager Feature
 5770PT1     1          2912       *LNG      QSYS2912      V7R4M0        Performance Tools - Manager Feature
 5770PT1     1          2913       *LNG      QSYS2913      V7R4M0        Performance Tools - Manager Feature
 5770PT1     1          2914       *LNG      QSYS2914      V7R4M0        Performance Tools - Manager Feature
 5770PT1     1          2922       *LNG      QSYS2922      V7R4M0        Performance Tools - Manager Feature
 5770PT1     1          2923       *LNG      QSYS2923      V7R4M0        Performance Tools - Manager Feature
 5770PT1     1          2924       *LNG      QPFR          V7R4M0        Performance Tools - Manager Feature
 5770PT1     1          2925       *LNG      QSYS2925      V7R4M0        Performance Tools - Manager Feature
 5770PT1     1          2926       *LNG      QSYS2926      V7R4M0        Performance Tools - Manager Feature
 5770PT1     1          2928       *LNG      QSYS2928      V7R4M0        Performance Tools - Manager Feature
 5770PT1     1          2929       *LNG      QSYS2929      V7R4M0        Performance Tools - Manager Feature
 5770PT1     1          2930       *LNG      QSYS2930      V7R4M0        Performance Tools - Manager Feature
 5770PT1     1          2931       *LNG      QSYS2931      V7R4M0        Performance Tools - Manager Feature
 5770PT1     1          2932       *LNG      QSYS2932      V7R4M0        Performance Tools - Manager Feature
 5770PT1     1          2933       *LNG      QSYS2933      V7R4M0        Performance Tools - Manager Feature
 5770PT1     1          2937       *LNG      QSYS2937      V7R4M0        Performance Tools - Manager Feature
 5770PT1     1          2938       *LNG      QSYS2938      V7R4M0        Performance Tools - Manager Feature
 5770PT1     1          2939       *LNG      QSYS2939      V7R4M0        Performance Tools - Manager Feature
 5770PT1     1          2940       *LNG      QSYS2940      V7R4M0        Performance Tools - Manager Feature
 5770PT1     1          2942       *LNG      QSYS2942      V7R4M0        Performance Tools - Manager Feature
 5770PT1     1          2954       *LNG      QSYS2954      V7R4M0        Performance Tools - Manager Feature
 5770PT1     1          2956       *LNG      QSYS2956      V7R4M0        Performance Tools - Manager Feature
 5770PT1     1          2957       *LNG      QSYS2957      V7R4M0        Performance Tools - Manager Feature
 5770PT1     1          2958       *LNG      QSYS2958      V7R4M0        Performance Tools - Manager Feature
 5770PT1     1          2961       *LNG      QSYS2961      V7R4M0        Performance Tools - Manager Feature
 5770PT1     1          2962       *LNG      QSYS2962      V7R4M0        Performance Tools - Manager Feature
 5770PT1     1          2963       *LNG      QSYS2963      V7R4M0        Performance Tools - Manager Feature
 5770PT1     1          2966       *LNG      QSYS2966      V7R4M0        Performance Tools - Manager Feature
 5770PT1     1          2972       *LNG      QSYS2972      V7R4M0        Performance Tools - Manager Feature
 5770PT1     1          2974       *LNG      QSYS2974      V7R4M0        Performance Tools - Manager Feature
 5770PT1     1          2975       *LNG      QSYS2975      V7R4M0        Performance Tools - Manager Feature
 5770PT1     1          2976       *LNG      QSYS2976      V7R4M0        Performance Tools - Manager Feature
 5770PT1     1          2978       *LNG      QSYS2978      V7R4M0        Performance Tools - Manager Feature
 5770PT1     1          2979       *LNG      QSYS2979      V7R4M0        Performance Tools - Manager Feature
 5770PT1     1          2980       *LNG      QSYS2980      V7R4M0        Performance Tools - Manager Feature
 5770PT1     1          2981       *LNG      QSYS2981      V7R4M0        Performance Tools - Manager Feature
 5770PT1     1          2984       *LNG      QSYS2984      V7R4M0        Performance Tools - Manager Feature
 5770PT1     1          2986       *LNG      QSYS2986      V7R4M0        Performance Tools - Manager Feature
 5770PT1     1          2987       *LNG      QSYS2987      V7R4M0        Performance Tools - Manager Feature
 5770PT1     1          2989       *LNG      QSYS2989      V7R4M0        Performance Tools - Manager Feature
 5770PT1     1          2992       *LNG      QSYS2992      V7R4M0        Performance Tools - Manager Feature
 5770PT1     1          2994       *LNG      QSYS2994      V7R4M0        Performance Tools - Manager Feature
 5770PT1     1          2995       *LNG      QSYS2995      V7R4M0        Performance Tools - Manager Feature
 5770PT1     1          2996       *LNG      QSYS2996      V7R4M0        Performance Tools - Manager Feature
 5770PT1     1          2998       *LNG      QSYS2998      V7R4M0        Performance Tools - Manager Feature
 5770PT1     2          5102       *CODE     QPFR          V7R4M0        Performance Tools - Agent Feature
 5770PT1     2          2902       *LNG      QSYS2902      V7R4M0        Performance Tools - Agent Feature
 5770PT1     2          2903       *LNG      QSYS2903      V7R4M0        Performance Tools - Agent Feature
 5770PT1     2          2904       *LNG      QSYS2904      V7R4M0        Performance Tools - Agent Feature
 5770PT1     2          2905       *LNG      QSYS2905      V7R4M0        Performance Tools - Agent Feature
 5770PT1     2          2909       *LNG      QSYS2909      V7R4M0        Performance Tools - Agent Feature
 5770PT1     2          2911       *LNG      QSYS2911      V7R4M0        Performance Tools - Agent Feature
 5770PT1     2          2912       *LNG      QSYS2912      V7R4M0        Performance Tools - Agent Feature
 5770PT1     2          2913       *LNG      QSYS2913      V7R4M0        Performance Tools - Agent Feature
 5770PT1     2          2914       *LNG      QSYS2914      V7R4M0        Performance Tools - Agent Feature
 5770PT1     2          2922       *LNG      QSYS2922      V7R4M0        Performance Tools - Agent Feature
 5770PT1     2          2923       *LNG      QSYS2923      V7R4M0        Performance Tools - Agent Feature
 5770PT1     2          2924       *LNG      QPFR          V7R4M0        Performance Tools - Agent Feature
 5770PT1     2          2925       *LNG      QSYS2925      V7R4M0        Performance Tools - Agent Feature
 5770PT1     2          2926       *LNG      QSYS2926      V7R4M0        Performance Tools - Agent Feature
 5770PT1     2          2928       *LNG      QSYS2928      V7R4M0        Performance Tools - Agent Feature
 5770PT1     2          2929       *LNG      QSYS2929      V7R4M0        Performance Tools - Agent Feature
 5770PT1     2          2930       *LNG      QSYS2930      V7R4M0        Performance Tools - Agent Feature
 5770PT1     2          2931       *LNG      QSYS2931      V7R4M0        Performance Tools - Agent Feature
 5770PT1     2          2932       *LNG      QSYS2932      V7R4M0        Performance Tools - Agent Feature
 5770PT1     2          2933       *LNG      QSYS2933      V7R4M0        Performance Tools - Agent Feature
 5770PT1     2          2937       *LNG      QSYS2937      V7R4M0        Performance Tools - Agent Feature
 5770PT1     2          2938       *LNG      QSYS2938      V7R4M0        Performance Tools - Agent Feature
 5770PT1     2          2939       *LNG      QSYS2939      V7R4M0        Performance Tools - Agent Feature
 5770PT1     2          2940       *LNG      QSYS2940      V7R4M0        Performance Tools - Agent Feature
 5770PT1     2          2942       *LNG      QSYS2942      V7R4M0        Performance Tools - Agent Feature
 5770PT1     2          2954       *LNG      QSYS2954      V7R4M0        Performance Tools - Agent Feature
 5770PT1     2          2956       *LNG      QSYS2956      V7R4M0        Performance Tools - Agent Feature
 5770PT1     2          2957       *LNG      QSYS2957      V7R4M0        Performance Tools - Agent Feature
 5770PT1     2          2958       *LNG      QSYS2958      V7R4M0        Performance Tools - Agent Feature
 5770PT1     2          2961       *LNG      QSYS2961      V7R4M0        Performance Tools - Agent Feature
 5770PT1     2          2962       *LNG      QSYS2962      V7R4M0        Performance Tools - Agent Feature
 5770PT1     2          2963       *LNG      QSYS2963      V7R4M0        Performance Tools - Agent Feature
 5770PT1     2          2966       *LNG      QSYS2966      V7R4M0        Performance Tools - Agent Feature
 5770PT1     2          2972       *LNG      QSYS2972      V7R4M0        Performance Tools - Agent Feature
 5770PT1     2          2974       *LNG      QSYS2974      V7R4M0        Performance Tools - Agent Feature
 5770PT1     2          2975       *LNG      QSYS2975      V7R4M0        Performance Tools - Agent Feature
 5770PT1     2          2976       *LNG      QSYS2976      V7R4M0        Performance Tools - Agent Feature
 5770PT1     2          2978       *LNG      QSYS2978      V7R4M0        Performance Tools - Agent Feature
 5770PT1     2          2979       *LNG      QSYS2979      V7R4M0        Performance Tools - Agent Feature
 5770PT1     2          2980       *LNG      QSYS2980      V7R4M0        Performance Tools - Agent Feature
 5770PT1     2          2981       *LNG      QSYS2981      V7R4M0        Performance Tools - Agent Feature
 5770PT1     2          2984       *LNG      QSYS2984      V7R4M0        Performance Tools - Agent Feature
 5770PT1     2          2986       *LNG      QSYS2986      V7R4M0        Performance Tools - Agent Feature
 5770PT1     2          2987       *LNG      QSYS2987      V7R4M0        Performance Tools - Agent Feature
 5770PT1     2          2989       *LNG      QSYS2989      V7R4M0        Performance Tools - Agent Feature
 5770PT1     2          2992       *LNG      QSYS2992      V7R4M0        Performance Tools - Agent Feature
 5770PT1     2          2994       *LNG      QSYS2994      V7R4M0        Performance Tools - Agent Feature
 5770PT1     2          2995       *LNG      QSYS2995      V7R4M0        Performance Tools - Agent Feature
 5770PT1     2          2996       *LNG      QSYS2996      V7R4M0        Performance Tools - Agent Feature
 5770PT1     2          2998       *LNG      QSYS2998      V7R4M0        Performance Tools - Agent Feature
 5770PT1     3          5103       *CODE     QPFR          V7R4M0        Performance Tools - Job Watcher
 5770PT1     4          5104       *CODE     QPFR          V7R4M0        Performance Tools - Reserved
 5770PT1     5          5105       *CODE     QPFR          V7R4M0        Performance Tools - Reserved
 5770QU1     *BASE      2911       *LNG      QSYS2911      V7R4M0        IBM Query for i
 5770QU1     *BASE      5050       *CODE     QQRYLIB       V7R5M0        IBM Query for i
 5770QU1     *BASE      2902       *LNG      QSYS2902      V7R5M0        IBM Query for i
 5770QU1     *BASE      2903       *LNG      QSYS2903      V7R5M0        IBM Query for i
 5770QU1     *BASE      2904       *LNG      QSYS2904      V7R5M0        IBM Query for i
 5770QU1     *BASE      2905       *LNG      QSYS2905      V7R5M0        IBM Query for i
 5770QU1     *BASE      2909       *LNG      QSYS2909      V7R5M0        IBM Query for i
 5770QU1     *BASE      2912       *LNG      QSYS2912      V7R5M0        IBM Query for i
 5770QU1     *BASE      2913       *LNG      QSYS2913      V7R5M0        IBM Query for i
 5770QU1     *BASE      2914       *LNG      QSYS2914      V7R5M0        IBM Query for i
 5770QU1     *BASE      2922       *LNG      QSYS2922      V7R5M0        IBM Query for i
 5770QU1     *BASE      2923       *LNG      QSYS2923      V7R5M0        IBM Query for i
 5770QU1     *BASE      2924       *LNG      QQRYLIB       V7R5M0        IBM Query for i
 5770QU1     *BASE      2925       *LNG      QSYS2925      V7R5M0        IBM Query for i
 5770QU1     *BASE      2926       *LNG      QSYS2926      V7R5M0        IBM Query for i
 5770QU1     *BASE      2928       *LNG      QSYS2928      V7R5M0        IBM Query for i
 5770QU1     *BASE      2929       *LNG      QSYS2929      V7R5M0        IBM Query for i
 5770QU1     *BASE      2930       *LNG      QSYS2930      V7R5M0        IBM Query for i
 5770QU1     *BASE      2931       *LNG      QSYS2931      V7R5M0        IBM Query for i
 5770QU1     *BASE      2932       *LNG      QSYS2932      V7R5M0        IBM Query for i
 5770QU1     *BASE      2933       *LNG      QSYS2933      V7R5M0        IBM Query for i
 5770QU1     *BASE      2937       *LNG      QSYS2937      V7R5M0        IBM Query for i
 5770QU1     *BASE      2938       *LNG      QSYS2938      V7R5M0        IBM Query for i
 5770QU1     *BASE      2939       *LNG      QSYS2939      V7R5M0        IBM Query for i
 5770QU1     *BASE      2940       *LNG      QSYS2940      V7R5M0        IBM Query for i
 5770QU1     *BASE      2942       *LNG      QSYS2942      V7R5M0        IBM Query for i
 5770QU1     *BASE      2954       *LNG      QSYS2954      V7R5M0        IBM Query for i
 5770QU1     *BASE      2956       *LNG      QSYS2956      V7R5M0        IBM Query for i
 5770QU1     *BASE      2957       *LNG      QSYS2957      V7R5M0        IBM Query for i
 5770QU1     *BASE      2958       *LNG      QSYS2958      V7R5M0        IBM Query for i
 5770QU1     *BASE      2961       *LNG      QSYS2961      V7R5M0        IBM Query for i
 5770QU1     *BASE      2962       *LNG      QSYS2962      V7R5M0        IBM Query for i
 5770QU1     *BASE      2963       *LNG      QSYS2963      V7R5M0        IBM Query for i
 5770QU1     *BASE      2966       *LNG      QSYS2966      V7R5M0        IBM Query for i
 5770QU1     *BASE      2972       *LNG      QSYS2972      V7R5M0        IBM Query for i
 5770QU1     *BASE      2974       *LNG      QSYS2974      V7R5M0        IBM Query for i
 5770QU1     *BASE      2975       *LNG      QSYS2975      V7R5M0        IBM Query for i
 5770QU1     *BASE      2976       *LNG      QSYS2976      V7R5M0        IBM Query for i
 5770QU1     *BASE      2978       *LNG      QSYS2978      V7R5M0        IBM Query for i
 5770QU1     *BASE      2979       *LNG      QSYS2979      V7R5M0        IBM Query for i
 5770QU1     *BASE      2980       *LNG      QSYS2980      V7R5M0        IBM Query for i
 5770QU1     *BASE      2981       *LNG      QSYS2981      V7R5M0        IBM Query for i
 5770QU1     *BASE      2984       *LNG      QSYS2984      V7R5M0        IBM Query for i
 5770QU1     *BASE      2986       *LNG      QSYS2986      V7R5M0        IBM Query for i
 5770QU1     *BASE      2987       *LNG      QSYS2987      V7R5M0        IBM Query for i
 5770QU1     *BASE      2989       *LNG      QSYS2989      V7R5M0        IBM Query for i
 5770QU1     *BASE      2992       *LNG      QSYS2992      V7R5M0        IBM Query for i
 5770QU1     *BASE      2994       *LNG      QSYS2994      V7R5M0        IBM Query for i
 5770QU1     *BASE      2995       *LNG      QSYS2995      V7R5M0        IBM Query for i
 5770QU1     *BASE      2996       *LNG      QSYS2996      V7R5M0        IBM Query for i
 5770QU1     *BASE      2998       *LNG      QSYS2998      V7R5M0        IBM Query for i
 5770SM1     *BASE      5050       *CODE     QSMU          V7R4M0        IBM System Manager for i
 5770SM1     *BASE      2902       *LNG      QSYS2902      V7R4M0        IBM System Manager for i
 5770SM1     *BASE      2903       *LNG      QSYS2903      V7R4M0        IBM System Manager for i
 5770SM1     *BASE      2904       *LNG      QSYS2904      V7R4M0        IBM System Manager for i
 5770SM1     *BASE      2909       *LNG      QSYS2909      V7R4M0        IBM System Manager for i
 5770SM1     *BASE      2911       *LNG      QSYS2911      V7R4M0        IBM System Manager for i
 5770SM1     *BASE      2912       *LNG      QSYS2912      V7R4M0        IBM System Manager for i
 5770SM1     *BASE      2913       *LNG      QSYS2913      V7R4M0        IBM System Manager for i
 5770SM1     *BASE      2914       *LNG      QSYS2914      V7R4M0        IBM System Manager for i
 5770SM1     *BASE      2922       *LNG      QSYS2922      V7R4M0        IBM System Manager for i
 5770SM1     *BASE      2923       *LNG      QSYS2923      V7R4M0        IBM System Manager for i
 5770SM1     *BASE      2924       *LNG      QSMU          V7R4M0        IBM System Manager for i
 5770SM1     *BASE      2925       *LNG      QSYS2925      V7R4M0        IBM System Manager for i
 5770SM1     *BASE      2926       *LNG      QSYS2926      V7R4M0        IBM System Manager for i
 5770SM1     *BASE      2928       *LNG      QSYS2928      V7R4M0        IBM System Manager for i
 5770SM1     *BASE      2929       *LNG      QSYS2929      V7R4M0        IBM System Manager for i
 5770SM1     *BASE      2931       *LNG      QSYS2931      V7R4M0        IBM System Manager for i
 5770SM1     *BASE      2932       *LNG      QSYS2932      V7R4M0        IBM System Manager for i
 5770SM1     *BASE      2933       *LNG      QSYS2933      V7R4M0        IBM System Manager for i
 5770SM1     *BASE      2937       *LNG      QSYS2937      V7R4M0        IBM System Manager for i
 5770SM1     *BASE      2939       *LNG      QSYS2939      V7R4M0        IBM System Manager for i
 5770SM1     *BASE      2940       *LNG      QSYS2940      V7R4M0        IBM System Manager for i
 5770SM1     *BASE      2942       *LNG      QSYS2942      V7R4M0        IBM System Manager for i
 5770SM1     *BASE      2956       *LNG      QSYS2956      V7R4M0        IBM System Manager for i
 5770SM1     *BASE      2957       *LNG      QSYS2957      V7R4M0        IBM System Manager for i
 5770SM1     *BASE      2958       *LNG      QSYS2958      V7R4M0        IBM System Manager for i
 5770SM1     *BASE      2961       *LNG      QSYS2961      V7R4M0        IBM System Manager for i
 5770SM1     *BASE      2974       *LNG      QSYS2974      V7R4M0        IBM System Manager for i
 5770SM1     *BASE      2975       *LNG      QSYS2975      V7R4M0        IBM System Manager for i
 5770SM1     *BASE      2976       *LNG      QSYS2976      V7R4M0        IBM System Manager for i
 5770SM1     *BASE      2978       *LNG      QSYS2978      V7R4M0        IBM System Manager for i
 5770SM1     *BASE      2979       *LNG      QSYS2979      V7R4M0        IBM System Manager for i
 5770SM1     *BASE      2992       *LNG      QSYS2992      V7R4M0        IBM System Manager for i
 5770SM1     *BASE      2994       *LNG      QSYS2994      V7R4M0        IBM System Manager for i
 5770SM1     *BASE      2995       *LNG      QSYS2995      V7R4M0        IBM System Manager for i
 5770SM1     *BASE      2998       *LNG      QSYS2998      V7R4M0        IBM System Manager for i
 5770ST1     *BASE      2911       *LNG      QSYS2911      V7R4M0        DB2 Query Mgr and SQL DevKit
 5770ST1     *BASE      5050       *CODE     QSQL          V7R5M0        IBM DB2 Query Manager and SQL Development Kit for i
 5770ST1     *BASE      2902       *LNG      QSYS2902      V7R5M0        IBM DB2 Query Manager and SQL Development Kit for i
 5770ST1     *BASE      2903       *LNG      QSYS2903      V7R5M0        IBM DB2 Query Manager and SQL Development Kit for i
 5770ST1     *BASE      2904       *LNG      QSYS2904      V7R5M0        IBM DB2 Query Manager and SQL Development Kit for i
 5770ST1     *BASE      2905       *LNG      QSYS2905      V7R5M0        IBM DB2 Query Manager and SQL Development Kit for i
 5770ST1     *BASE      2909       *LNG      QSYS2909      V7R5M0        IBM DB2 Query Manager and SQL Development Kit for i
 5770ST1     *BASE      2912       *LNG      QSYS2912      V7R5M0        IBM DB2 Query Manager and SQL Development Kit for i
 5770ST1     *BASE      2913       *LNG      QSYS2913      V7R5M0        IBM DB2 Query Manager and SQL Development Kit for i
 5770ST1     *BASE      2914       *LNG      QSYS2914      V7R5M0        IBM DB2 Query Manager and SQL Development Kit for i
 5770ST1     *BASE      2922       *LNG      QSYS2922      V7R5M0        IBM DB2 Query Manager and SQL Development Kit for i
 5770ST1     *BASE      2923       *LNG      QSYS2923      V7R5M0        IBM DB2 Query Manager and SQL Development Kit for i
 5770ST1     *BASE      2924       *LNG      QSQL          V7R5M0        IBM DB2 Query Manager and SQL Development Kit for i
 5770ST1     *BASE      2925       *LNG      QSYS2925      V7R5M0        IBM DB2 Query Manager and SQL Development Kit for i
 5770ST1     *BASE      2926       *LNG      QSYS2926      V7R5M0        IBM DB2 Query Manager and SQL Development Kit for i
 5770ST1     *BASE      2928       *LNG      QSYS2928      V7R5M0        IBM DB2 Query Manager and SQL Development Kit for i
 5770ST1     *BASE      2929       *LNG      QSYS2929      V7R5M0        IBM DB2 Query Manager and SQL Development Kit for i
 5770ST1     *BASE      2930       *LNG      QSYS2930      V7R5M0        IBM DB2 Query Manager and SQL Development Kit for i
 5770ST1     *BASE      2931       *LNG      QSYS2931      V7R5M0        IBM DB2 Query Manager and SQL Development Kit for i
 5770ST1     *BASE      2932       *LNG      QSYS2932      V7R5M0        IBM DB2 Query Manager and SQL Development Kit for i
 5770ST1     *BASE      2933       *LNG      QSYS2933      V7R5M0        IBM DB2 Query Manager and SQL Development Kit for i
 5770ST1     *BASE      2937       *LNG      QSYS2937      V7R5M0        IBM DB2 Query Manager and SQL Development Kit for i
 5770ST1     *BASE      2938       *LNG      QSYS2938      V7R5M0        IBM DB2 Query Manager and SQL Development Kit for i
 5770ST1     *BASE      2939       *LNG      QSYS2939      V7R5M0        IBM DB2 Query Manager and SQL Development Kit for i
 5770ST1     *BASE      2940       *LNG      QSYS2940      V7R5M0        IBM DB2 Query Manager and SQL Development Kit for i
 5770ST1     *BASE      2942       *LNG      QSYS2942      V7R5M0        IBM DB2 Query Manager and SQL Development Kit for i
 5770ST1     *BASE      2954       *LNG      QSYS2954      V7R5M0        IBM DB2 Query Manager and SQL Development Kit for i
 5770ST1     *BASE      2956       *LNG      QSYS2956      V7R5M0        IBM DB2 Query Manager and SQL Development Kit for i
 5770ST1     *BASE      2957       *LNG      QSYS2957      V7R5M0        IBM DB2 Query Manager and SQL Development Kit for i
 5770ST1     *BASE      2958       *LNG      QSYS2958      V7R5M0        IBM DB2 Query Manager and SQL Development Kit for i
 5770ST1     *BASE      2961       *LNG      QSYS2961      V7R5M0        IBM DB2 Query Manager and SQL Development Kit for i
 5770ST1     *BASE      2962       *LNG      QSYS2962      V7R5M0        IBM DB2 Query Manager and SQL Development Kit for i
 5770ST1     *BASE      2963       *LNG      QSYS2963      V7R5M0        IBM DB2 Query Manager and SQL Development Kit for i
 5770ST1     *BASE      2966       *LNG      QSYS2966      V7R5M0        IBM DB2 Query Manager and SQL Development Kit for i
 5770ST1     *BASE      2972       *LNG      QSYS2972      V7R5M0        IBM DB2 Query Manager and SQL Development Kit for i
 5770ST1     *BASE      2974       *LNG      QSYS2974      V7R5M0        IBM DB2 Query Manager and SQL Development Kit for i
 5770ST1     *BASE      2975       *LNG      QSYS2975      V7R5M0        IBM DB2 Query Manager and SQL Development Kit for i
 5770ST1     *BASE      2976       *LNG      QSYS2976      V7R5M0        IBM DB2 Query Manager and SQL Development Kit for i
 5770ST1     *BASE      2978       *LNG      QSYS2978      V7R5M0        IBM DB2 Query Manager and SQL Development Kit for i
 5770ST1     *BASE      2979       *LNG      QSYS2979      V7R5M0        IBM DB2 Query Manager and SQL Development Kit for i
 5770ST1     *BASE      2980       *LNG      QSYS2980      V7R5M0        IBM DB2 Query Manager and SQL Development Kit for i
 5770ST1     *BASE      2981       *LNG      QSYS2981      V7R5M0        IBM DB2 Query Manager and SQL Development Kit for i
 5770ST1     *BASE      2984       *LNG      QSYS2984      V7R5M0        IBM DB2 Query Manager and SQL Development Kit for i
 5770ST1     *BASE      2986       *LNG      QSYS2986      V7R5M0        IBM DB2 Query Manager and SQL Development Kit for i
 5770ST1     *BASE      2987       *LNG      QSYS2987      V7R5M0        IBM DB2 Query Manager and SQL Development Kit for i
 5770ST1     *BASE      2989       *LNG      QSYS2989      V7R5M0        IBM DB2 Query Manager and SQL Development Kit for i
 5770ST1     *BASE      2992       *LNG      QSYS2992      V7R5M0        IBM DB2 Query Manager and SQL Development Kit for i
 5770ST1     *BASE      2994       *LNG      QSYS2994      V7R5M0        IBM DB2 Query Manager and SQL Development Kit for i
 5770ST1     *BASE      2995       *LNG      QSYS2995      V7R5M0        IBM DB2 Query Manager and SQL Development Kit for i
 5770ST1     *BASE      2996       *LNG      QSYS2996      V7R5M0        IBM DB2 Query Manager and SQL Development Kit for i
 5770ST1     *BASE      2998       *LNG      QSYS2998      V7R5M0        IBM DB2 Query Manager and SQL Development Kit for i
 5770TC1     *BASE      2911       *LNG      QSYS2911      V7R4M0        IBM TCP/IP Connectivity Utilities for i
 5770TC1     *BASE      5050       *CODE     QTCP          V7R5M0        IBM TCP/IP Connectivity Utilities for i
 5770TC1     *BASE      2902       *LNG      QSYS2902      V7R5M0        IBM TCP/IP Connectivity Utilities for i
 5770TC1     *BASE      2903       *LNG      QSYS2903      V7R5M0        IBM TCP/IP Connectivity Utilities for i
 5770TC1     *BASE      2904       *LNG      QSYS2904      V7R5M0        IBM TCP/IP Connectivity Utilities for i
 5770TC1     *BASE      2905       *LNG      QSYS2905      V7R5M0        IBM TCP/IP Connectivity Utilities for i
 5770TC1     *BASE      2909       *LNG      QSYS2909      V7R5M0        IBM TCP/IP Connectivity Utilities for i
 5770TC1     *BASE      2912       *LNG      QSYS2912      V7R5M0        IBM TCP/IP Connectivity Utilities for i
 5770TC1     *BASE      2913       *LNG      QSYS2913      V7R5M0        IBM TCP/IP Connectivity Utilities for i
 5770TC1     *BASE      2914       *LNG      QSYS2914      V7R5M0        IBM TCP/IP Connectivity Utilities for i
 5770TC1     *BASE      2922       *LNG      QSYS2922      V7R5M0        IBM TCP/IP Connectivity Utilities for i
